,,,,,,,,,,,,,,,
Normais Climatológicas do Brasil 1961-1990,,,,,,,,,,,,,,,
Número de Dias com Precipitação Maior ou Igual a 1 mm (dias),,,,,,,,,,,,,,,
Código,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
83625,Barretos,SP,16,13,11,5,4,2,2,2,4,9,12,16,96
83729,Campinas,SP,15,12,10,5,4,5,4,3,5,10,10,14,97
83714,Campos do Jordão,SP,19,17,14,9,7,5,4,4,7,12,14,20,132
83676,Catanduva,SP,14,14,11,5,5,3,3,3,5,9,10,15,97
83626,Colina,SP,14,14,10,5,3,3,3,2,4,8,11,14,91
83760,Coop. Agrícola de Cotia,SP,14,14,11,8,5,5,5,4,6,12,11,15,110
83204,Fazenda Ipanema (Est. Desativada),SP,12,11,10,4,4,4,3,3,5,11,8,13,88
83630,Franca,SP,18,15,13,7,4,2,2,3,6,10,13,17,110
83821,Iguape,SP,13,12,13,11,10,9,9,9,11,13,12,14,136
83774,Itapeva,SP,12,12,9,5,7,6,4,5,8,9,10,13,100
83678,Jaboticabal,SP,17,12,12,7,6,3,2,4,6,10,11,16,106
83674,Lins,SP,13,13,10,4,4,3,3,3,5,9,9,12,88
83772,Mogi das Cruzes,SP,13,12,10,7,5,5,5,5,6,11,12,12,103
83847,Paraibuna,SP,13,13,11,5,5,4,4,4,6,11,11,13,100
83716,Presidente Prudente,SP,13,11,9,5,5,4,4,3,6,8,8,12,88
83670,Santa Rita,SP,15,15,11,6,3,4,3,3,5,11,11,16,103
83782,Santos,SP,13,12,12,12,9,8,8,8,11,13,12,14,132
83726,São Carlos,SP,16,14,12,6,5,4,3,3,6,10,12,15,106
83809,São José dos Campos,SP,13,11,11,5,4,4,3,3,5,10,9,13,91
83856,São Paulo - Horto Florestal,SP,16,14,11,7,6,5,5,4,7,11,12,15,113
83781,São Paulo (Mir. de Santana),SP,15,14,11,7,6,4,4,4,7,10,11,14,107
83669,São Simão,SP,16,13,11,6,4,3,3,3,5,9,11,17,101
83667,Sertãozinho,SP,13,13,11,6,4,3,2,2,5,10,12,15,96
83851,Sorocaba,SP,14,12,9,5,8,5,4,4,6,8,9,13,97
83666,Tamoio,SP,16,14,11,4,3,3,2,2,4,10,10,16,95
83784,Taubaté,SP,17,14,12,7,4,4,4,4,6,11,12,16,111
83857,Tremembé,SP,17,15,13,7,5,4,3,3,7,11,13,16,114
83786,Ubatuba,SP,17,14,16,13,11,8,8,8,13,15,15,18,156
83629,Usina Junqueira,SP,17,17,12,6,3,2,3,1,5,12,12,15,105
83623,Votuporanga,SP,16,12,11,6,6,3,3,1,6,7,10,14,95
83033,Palmas,TO,13,13,11,7,2,0,0,0,2,8,12,13,81
83231,Paranã,TO,13,12,10,7,2,0,0,0,2,8,12,13,79
82863,Pedro Afonso,TO,18,16,17,12,3,1,0,2,5,11,13,17,115
83228,Peixe,TO,17,16,16,9,2,0,0,1,3,10,13,16,103
83064,Porto Nacional,TO,18,17,17,11,4,1,1,1,4,12,13,16,115
83235,Taguatinga,TO,18,16,15,10,2,1,0,0,3,9,14,18,106
